id	name	primaryMuscles	secondaryMuscles
1	Barbell Bench Press	chest	triceps,frontDelts,abs
2	Incline Barbell Bench Press	chest	triceps,frontDelts,abs
3	Decline Barbell Bench Press	chest	triceps,frontDelts,abs
4	Dumbbell Bench Press	chest	triceps,frontDelts,abs
5	Incline Dumbbell Bench Press	chest	triceps,frontDelts,abs
6	Decline Dumbbell Bench Press	chest	triceps,frontDelts,abs
7	Dumbbell Floor Press	chest	triceps,frontDelts,abs
8	Dumbbell Squeeze Press	chest	triceps,frontDelts,abs
9	Alternating Dumbbell Bench Press	chest	triceps,frontDelts,abs
10	Single-Arm Dumbbell Bench Press	chest	triceps,frontDelts,abs
11	Machine Chest Press	chest	triceps,frontDelts,abs
12	Incline Machine Chest Press	chest	triceps,frontDelts,abs
13	Plate-Loaded Chest Press	chest	triceps,frontDelts,abs
14	Smith Machine Bench Press	chest	triceps,frontDelts,abs
15	Smith Machine Incline Press	chest	triceps,frontDelts,abs
16	Cable Chest Press	chest	triceps,frontDelts,abs
17	Single-Arm Cable Chest Press	chest	triceps,frontDelts,abs
18	Cable Fly	chest	triceps,frontDelts
19	Low-to-High Cable Fly	chest	triceps,frontDelts
20	High-to-Low Cable Fly	chest	triceps,frontDelts
21	Pec Deck Fly	chest	triceps,frontDelts
22	Dumbbell Fly	chest	triceps,frontDelts
23	Incline Dumbbell Fly	chest	triceps,frontDelts
24	Dumbbell Pullover	lats,upperBack	biceps,rearDelts,forearms
25	Plate Squeeze Press	chest	triceps,frontDelts,abs
26	Standard Push-Up	chest	triceps,frontDelts,abs
27	Wide-Grip Push-Up	chest	triceps,frontDelts,abs
28	Diamond Push-Up	chest	triceps,frontDelts,abs
29	Decline Push-Up	chest	triceps,frontDelts,abs
30	Incline Push-Up	chest	triceps,frontDelts,abs
31	Archer Push-Up	chest	triceps,frontDelts,abs
32	Plyometric Push-Up	chest	triceps,frontDelts,abs
33	Clap Push-Up	chest	triceps,frontDelts,abs
34	Explosive Depth Push-Up	chest	triceps,frontDelts,abs
35	Deficit Push-Up	chest	triceps,frontDelts,abs
36	Ring Push-Up	chest	triceps,frontDelts,abs
37	Weighted Push-Up	chest	triceps,frontDelts,abs
38	Spiderman Push-Up	chest	triceps,frontDelts,abs
39	Typewriter Push-Up	chest	triceps,frontDelts,abs
40	Parallel-Bar Dip	chest	triceps,frontDelts,abs
41	Conventional Deadlift	hamstrings,glutes	lowerBack,upperBack,forearms,abs
42	Romanian Deadlift	hamstrings,glutes	lowerBack,upperBack,forearms,abs
43	Barbell Bent-Over Row	lats,upperBack	biceps,rearDelts,forearms
44	Pendlay Row	lats,upperBack	biceps,rearDelts,forearms
45	Underhand Barbell Row	lats,upperBack	biceps,rearDelts,forearms
46	Dumbbell Row	lats,upperBack	biceps,rearDelts,forearms
47	Chest-Supported Dumbbell Row	lats,upperBack	biceps,rearDelts,forearms
48	Seal Row	lats,upperBack	biceps,rearDelts,forearms
49	Meadows Row	lats,upperBack	biceps,rearDelts,forearms
50	T-Bar Row	lats,upperBack	biceps,rearDelts,forearms
51	Chest-Supported T-Bar Row	lats,upperBack	biceps,rearDelts,forearms
52	Machine High Row	lats,upperBack	biceps,rearDelts,forearms
53	Machine Low Row	lats,upperBack	biceps,rearDelts,forearms
54	Seated Cable Row	lats,upperBack	biceps,rearDelts,forearms
55	Wide-Grip Cable Row	lats,upperBack	biceps,rearDelts,forearms
56	Single-Arm Cable Row	lats,upperBack	biceps,rearDelts,forearms
57	Lat Pulldown	lats,upperBack	biceps,rearDelts,forearms
58	Wide-Grip Lat Pulldown	lats,upperBack	biceps,rearDelts,forearms
59	Neutral-Grip Lat Pulldown	lats,upperBack	biceps,rearDelts,forearms
60	Underhand Lat Pulldown	lats,upperBack	biceps,rearDelts,forearms
61	Single-Arm Lat Pulldown	lats,upperBack	biceps,rearDelts,forearms
62	Straight-Arm Cable Pulldown	lats,upperBack	biceps,rearDelts,forearms
63	Cable Pullover	lats,upperBack	biceps,rearDelts,forearms
64	Machine Pullover	lats,upperBack	biceps,rearDelts,forearms
65	Dumbbell Pullover	lats,upperBack	biceps,rearDelts,forearms
66	Pull-Up	lats,upperBack	biceps,rearDelts,forearms
67	Chin-Up	lats,upperBack	biceps,rearDelts,forearms
68	Neutral-Grip Pull-Up	lats,upperBack	biceps,rearDelts,forearms
69	Wide-Grip Pull-Up	lats,upperBack	biceps,rearDelts,forearms
70	Weighted Pull-Up	lats,upperBack	biceps,rearDelts,forearms
71	Weighted Chin-Up	lats,upperBack	biceps,rearDelts,forearms
72	Commando Pull-Up	lats,upperBack	biceps,rearDelts,forearms
73	Archer Pull-Up	lats,upperBack	biceps,rearDelts,forearms
74	L-Sit Pull-Up	abs	obliques,hipFlexors
75	Inverted Row	lats,upperBack	biceps,rearDelts,forearms
76	Feet-Elevated Inverted Row	lats,upperBack	biceps,rearDelts,forearms
77	Ring Row	lats,upperBack	biceps,rearDelts,forearms
78	Towel Pull-Up	lats,upperBack	biceps,rearDelts,forearms
79	Scapular Pull-Up	lats,upperBack	biceps,rearDelts,forearms
80	Rope Climb	lats,upperBack	biceps,rearDelts,forearms
81	Barbell Shrug	traps	forearms,upperBack
82	Dumbbell Shrug	traps	forearms,upperBack
83	Trap-Bar Shrug	traps	forearms,upperBack
84	Cable Shrug	traps	forearms,upperBack
85	Machine Shrug	traps	forearms,upperBack
86	Incline Dumbbell Shrug	traps	forearms,upperBack
87	Face Pull	rearDelts,traps	rotatorCuff,upperBack
88	Rope Face Pull with External Rotation	rearDelts,traps	rotatorCuff,upperBack
89	Reverse Pec Deck	rearDelts,traps	upperBack,rotatorCuff
90	Bent-Over Rear-Delt Fly	rearDelts,traps	rotatorCuff,upperBack
91	Chest-Supported Rear-Delt Raise	rearDelts,traps	rotatorCuff,upperBack
92	Cable Rear-Delt Fly	rearDelts,traps	rotatorCuff,upperBack
93	Single-Arm Cable Rear-Delt Fly	rearDelts,traps	rotatorCuff,upperBack
94	Dumbbell Y-Raise	rearDelts,traps	rotatorCuff,upperBack
95	Cable Y-Raise	rearDelts,traps	rotatorCuff,upperBack
96	Prone Y-Raise	rearDelts,traps	rotatorCuff,upperBack
97	Prone T-Raise	rearDelts,traps	rotatorCuff,upperBack
98	Prone W-Raise	rearDelts,traps	rotatorCuff,upperBack
99	Scapular Wall Slide	serratusAnterior,traps	rotatorCuff,upperBack
100	Band Pull-Apart	rearDelts,traps	rotatorCuff,upperBack
101	Barbell Overhead Press	frontDelts,sideDelts	triceps,frontDelts,abs
102	Seated Barbell Overhead Press	frontDelts,sideDelts	triceps,frontDelts,abs
103	Dumbbell Shoulder Press	frontDelts,sideDelts	triceps,frontDelts,abs
104	Seated Dumbbell Shoulder Press	frontDelts,sideDelts	triceps,frontDelts,abs
105	Arnold Press	chest	triceps,frontDelts,abs
106	Machine Shoulder Press	frontDelts,sideDelts	triceps,frontDelts,abs
107	Smith Machine Shoulder Press	frontDelts,sideDelts	triceps,frontDelts,abs
108	Single-Arm Dumbbell Overhead Press	frontDelts,sideDelts	triceps,frontDelts,abs
109	Z-Press	frontDelts,sideDelts	triceps,frontDelts,abs
110	Push Press	chest	triceps,frontDelts,abs
111	Dumbbell Lateral Raise	sideDelts	traps
112	Cable Lateral Raise	sideDelts	traps
113	Machine Lateral Raise	sideDelts	traps
114	Leaning Cable Lateral Raise	sideDelts	traps
115	Behind-the-Back Cable Lateral Raise	sideDelts	traps
116	Incline Dumbbell Lateral Raise	sideDelts	traps
